CBR-001-570-969-0,RFM-000-001-1,CBR-001-570-969-0,O=c1[nH]c(=O)[nH]c(n1)C(=O)[O-],CBR-HVAC-04520
CBR-001-570-970-3,RFM-000-002-2,CBR-001-570-970-3,O=C(c1ccc2c(c1O)cccc2)Oc1ccccc1,analog of CBR-HVAC-08765
CBR-001-570-971-4,RFM-000-003-3,CBR-001-570-971-4,OCC(COc1ccc(cc1)Cl)O,CBR-HVAC-09007
CBR-001-570-972-5,RFM-000-004-4,CBR-001-570-972-5,OC(=O)c1cc(O)c(c(c1)O)O,CBR-HVAC-09011
CBR-001-570-973-6,RFM-000-005-5,CBR-001-570-973-6,OC(=O)c1ccccc1,CBR-HVAC-09141
CBR-001-570-974-7,RFM-000-006-6,CBR-001-570-974-7,Brc1cc(Br)c(c(c1)Br)O,CBR-HVAC-09143
CBR-001-570-975-8,RFM-000-007-7,CBR-001-570-975-8,SC(=S)N1CCCC1,CBR-HVAC-09326
CBR-001-570-976-9,RFM-000-008-8,CBR-001-570-976-9,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(=O)[nH]c(n2)N,CBR-HVAC-01327: Dihydrofolate reductase Inhibitor; Folate Receptor Ligands; Chemopreventive Agents; Colorectal Cancer Therapy; Dental Agents; Hematopoietic Agents; Micronutrient; Ovarian Cancer Therapy; Therapy of Vitamin-Related Disorders; Treatment of Disorders of the Coronary Arteries and Atherosclerosis
CBR-001-570-977-0,RFM-000-009-9,CBR-001-570-977-0,OC(=O)[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@H]([C@H]([C@H]2O)O)O)C(=O)O)[C@H]([C@H]([C@@H]1O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@@H]1O)O)O)O)O,analog of CBR-HVAC-09533
CBR-001-570-978-1,RFM-000-010-2,CBR-001-570-978-1,NCCC[C@H]1NC(=O)[C@H](CCCCNC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@H](CC)C)Cc1ccccc1)Cc1[nH]cnc1)CC(=O)O)NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)C1CSC(=N1)C(C(CC)C)N)CC(C)C)CCC(=O)O,CBR-HVAC-09543
CBR-001-570-979-2,RFM-000-011-3,CBR-001-570-979-2,COc1ccc(c(c1)O)C(=O)c1ccccc1,CBR-HVAC-09625
CBR-001-570-980-5,RFM-000-012-4,CBR-001-570-980-5,*C(C(F)(F)*)(F)F,CBR-HVAC-09644
CBR-001-570-981-6,RFM-000-013-5,CBR-001-570-981-6,CC(=O)Nc1ccc(cc1)C=NNC(=S)N,CBR-HVAC-09691
CBR-001-570-982-7,RFM-000-014-6,CBR-001-570-982-7,CCOc1ccc(cc1)N=Nc1ccc(cc1N)N,CBR-HVAC-09975
CBR-001-570-983-8,RFM-000-015-7,CBR-001-570-983-8,CC(=O)Nc1cccc(c1)O,CBR-HVAC-09993
CBR-001-570-984-9,RFM-000-016-8,CBR-001-570-984-9,Oc1ccc(cc1)C1(OC(=O)c2c1cccc2)c1ccc(cc1)O,CBR-HVAC-10032
CBR-001-570-985-0,RFM-000-017-9,CBR-001-570-985-0,O=C(c1ccccc1C(=O)O)Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,CBR-HVAC-10033
CBR-001-570-986-1,RFM-000-018-0,CBR-001-570-986-1,Oc1ccc2c(c1)oc(=O)cc2C,CBR-HVAC-10049
CBR-001-570-987-2,RFM-000-019-1,CBR-001-570-987-2,Oc1ccc(cc1)C1(OS(=O)(=O)c2c1cccc2)c1ccc(cc1)O,CBR-HVAC-10074
CBR-001-570-988-3,RFM-000-020-4,CBR-001-570-988-3,OCc1ccccc1O,CBR-HVAC-10119
CBR-001-570-989-4,RFM-000-021-5,CBR-001-570-989-4,CCOC(=O)C(=C(c1ccccc1)c1ccccc1)C#N,CBR-HVAC-10261
CBR-001-570-990-7,RFM-000-022-6,CBR-001-570-990-7,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,CBR-HVAC-10345
CBR-001-570-991-8,RFM-000-023-7,CBR-001-570-991-8,CCCCCCCCCCCCCCCC(=O)OC[C@H]([C@H]1OC[C@@H]([C@H]1O)O)O,CBR-HVAC-10368
CBR-001-570-992-9,RFM-000-024-8,CBR-001-570-992-9,COc1nc(N)nc2c1nc[nH]2,CBR-HVAC-11138
CBR-001-570-993-0,RFM-000-025-9,CBR-001-570-993-0,CN(C(=O)[C@@H]1CCCN1C(=O)NCc1ccc(cc1C)C(=O)N1CCCCc2c1cccc2)C,CBR-HVAC-00707: Urinary Incontinence Therapy; Signal Transduction Modulators;Vasopressin (AVP) V2 Receptor Agonists; Vasopressin V2 receptor Agonist; Vasopressin 2 agonist
CBR-001-570-994-1,RFM-000-026-0,CBR-001-570-994-1,Oc1ccc(cc1)CCCn1ncc2c1nc(N)n1c2nc(n1)c1ccco1,CBR-HVAC-14224
CBR-001-570-995-2,RFM-000-027-1,CBR-001-570-995-2,OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1nc(N)[nH]c2=O,analog of CBR-HVAC-03696
CBR-001-570-996-3,RFM-000-028-2,CBR-001-570-996-3,CNCC(C(C(C(CO)O)O)O)O,uninteresting counterion of CBR-HVAC-00937
CBR-001-570-997-4,RFM-000-029-3,CBR-001-570-997-4,O=C1NCC(=O)NC1,CBR-HVAC-08207:  DNA inhibitor
CBR-001-570-998-5,RFM-000-030-6,CBR-001-570-998-5,OC/C(=N\NC(=O)CCCCCN1C(=O)C=CC1=O)/[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,CBR-HVAC-05830: Gastric Cancer Therapy;Sarcoma Therapy;Glioblastoma Multiforme Therapy;Small Cell Lung Cancer Therapy;Kaposi's Sarcoma Therapy;Multiple Myeloma Therapy;Solid Tumors Therapy;Breast Cancer Therapy;Oncolytic Drugs;Pancreatic Cancer Therapy;Ovarian Cancer Therapy; DNA Topoisomerase II Inhibitors;DNA-Intercalating Drugs;
